"ShowID","ShowDate","ShowName","DeadBaseID","VenueID","TapeRank","GotIT","Quality","MyNotes","ShowNotes","ShowFirstLine"
12,"1977-05-09","05-09-77",986,9,11,1,-1,"","last ""Mexicali"": 10-19-74 [65]","05-09-77 War Memorial Auditorium/, Buffalo/, N.Y. (Mon)"
13,"1978-07-08","07-08-78",1075,10,12,1,-1,"","","07-08-78 Red Rocks Amphitheatre/, Morrison/, Co. (Sat)"
14,"1989-10-16","10-16-89",1881,11,13,1,-1,"","Bob Weir's 42nd birthday","10-16-89 Meadowlands Arena/, East Rutherford/, N.J. (Mon)"
15,"1970-02-14","02-14-70b",527,3,14,0,-1,"some*appears on Bear's Choice **appears on Dick's Picks Vol 4","*appears on ""Bear's Choice"" **appears on ""Dick's Picks Vol 4""11:30 show - first ""Dark Hollow""- Bear's Choice shows - billing: GD; Allman Brothers Band; Love","02-14-70b Fillmore East/, New York/, N.Y. (Sat)"
16,"1974-06-28","06-28-74",900,12,15,0,-1,"show is featured on Dick's Picks 12","*appears on ""Dick's Picks Vol 12""""Jam"" contains ""Dark Star"" hints and ""Space""","06-28-74 Boston Garden/, Boston/, Ma. (Fri)"
17,"1969-02-28","02-28-69",383,7,16,1,-1,"","billing: GD; Pentangle; Sir Douglas Quintet","02-28-69 Fillmore West/, San Francisco/, Ca. (Fri)"
18,"1973-05-26","05-26-73",833,13,17,1,-1,"","afternoon concert - billing: GD; NRPS; Waylon Jennings","05-26-73 Kezar Stadium/, San Francisco/, Ca. (Sat)"
19,"1977-11-06","11-06-77",1023,14,18,1,-1,"","""Take A Step Back"" before ""Tennessee Jed""","11-06-77 Broome County Arena/, Binghamton/, N.Y. (Sun)"
20,"1971-02-18","02-18-71",646,15,19,1,-1,"","first ""Bertha"" - first ""Greatest"" - first ""Loser"" - first ""Playin"" - first ""Wharf Rat"" - Mickey's last show until 10-20-74 - E.S.P. show - also: NRPS - this run was recorded for ""Skull Fuck""; none of it was used","02-18-71 Capitol Theater/, Port Chester/, N.Y. (Thu)"
21,"1971-04-28","04-28-71",680,3,20,1,-1,"FTP also has NRPS","*with Tom Constanten also: NRPS - Orchestra $4.50 - ""Drums"" and ""Other One"" appear on ""Skull Fuck""","04-28-71 Fillmore East/, New York/, N.Y. (Wed)"
22,"1973-06-10","06-10-73",835,16,21,1,5,"","*with Allman Brothers Band and Merl SaundersWet Willie, then Allman Brothers Band opened - first ""That's Alright Mama"" - first ""Train To Cry"" - final ""Wave That Flag"" - ""Half Step"" appears on some tapes but is likely from a different show","06-10-73 Robert F. Kennedy Stadium/, Washington/, D.C. (Sun)"
23,"1974-10-18","10-18-74",920,602,22,1,-1,"parts on steal your face","""Beer Barrel Polka"" tuning before ""Mexicali"" - final ""WRS Part 1"" - final ""WRS Prelude"" - ""Sugaree"", ""BIODTL"" and ""Ship Of Fools"" appear on ""Steal Your Face""","10-18-74 Winterland Arena/, San Francisco/, Ca. (Fri)"
24,"1972-05-11","05-11-72",748,17,23,1,-1,"","final ""Caution"" - final ""Who Do You Love""","05-11-72 Rotterdam Civic Hall/, Rotterdam/, The Netherlands (Thu)"
25,"1973-02-15","02-15-73",812,18,24,1,2,"","sound check: ""Loose Lucy,"" ""Jack Straw,"" ""Box Of Rain,"" ""Uncle John"" - first ""You Ain't Woman Enough""","02-15-73 Dane County Coliseum/, Madison/, Wi. (Thu)"
26,"1977-02-26","02-26-77",968,19,25,1,4,"","first ""Estimated"" - first ""Terrapin""","02-26-77 Swing Auditorium/, San Bernardino/, Ca. (Sat)"
27,"1979-10-27","10-27-79",1154,20,26,1,-1,"","last ""Caution Jam"": 10-22-78 [68]","10-27-79 Cape Cod Coliseum/, South Yarmouth/, Ma. (Sat)"
28,"1973-02-09","02-09-73",811,21,27,1,-1,"","""Beer Barrel Polka"" tuning before ""Mexicali"" - first ""China Doll"" - first ""Eyes"" - first ""H. C. Sunshine"" - first ""Loose Lucy"" - first ""TLEO"" - first ""Row Jimmy"" - first ""Wave That Flag""","02-09-73 Roscoe Maples Pavilion/, Stanford U./, Palo Alto/, Ca. (Fri)"
29,"1990-09-20","09-20-90",1948,8,28,1,-1,"","last ""El Paso"": 04-03-89 [113] - last ""Playin Reprise"": 07-04-89 [92]","09-20-90 Madison Square Garden/, New York/, N.Y. (Thu)"
30,"1974-05-19","05-19-74",890,22,29,1,-1,"","""Tico Tico"" tuning before ""Promised""","05-19-74 Portland Memorial Coliseum/, Portland/, Or. (Sun)"
31,"1974-06-18","06-18-74",895,23,30,1,-1,"","only ""It's A Sin Jam""","06-18-74 Freedom Hall/, Louisville/, Ky. (Tue)"
32,"1974-10-19","10-19-74",921,602,31,0,-1,"also Aud mix available","last ""Mama Tried"": 07-31-71 [235] - final/last ""Tomorrow Is Forever"": 12-11-72 [114] - ""Half Step"", ""El Paso"", ""B. T. Wind"", ""Big River"" and ""U. S. Blues"" appear on ""Steal Your Face""","10-19-74 Winterland Arena/, San Francisco/, Ca. (Sat)"
33,"1977-06-09","06-09-77",1002,602,32,1,-1,"","""Funiculi Funicula"" tuning before ""Help""","06-09-77 Winterland Arena/, San Francisco/, Ca. (Thu)"
34,"1991-10-31","10-31-91",2042,24,33,1,-1,"","*with Gary Duncan **also with Ken Keseyfinal/last ""Werewolves"": 10-31-90 [84]","10-31-91 Oakland Coliseum Arena/, Oakland/, Ca. (Thu)"
35,"1995-03-23","03-23-95",2278,25,34,1,-1,"1995 maybe best of the end","*Bruce on keyboards and Vince on grand pianowith Bruce Hornsby on grand piano - last ""Space"": 02-20-91 [306] - final ""The Weight""","03-23-95 Charlotte Coliseum/, Charlotte/, N.C. (Thu)"
36,"1972-05-26","05-26-72",755,26,35,1,-1,"","""Truckin"" and ""Morning Dew"" appear on ""Europe '72"" - final ""Chinatown Shuffle"" - final ""Mr. Charlie"" - final ""Next Time"" - final ""Two Souls""- also: NRPS","05-26-72 The Strand Lyceum/, London/, England (Fri)"
37,"1985-11-01","11-01-85",1598,27,36,1,-1,"Dicks Picks 21","","11-01-85 Richmond Coliseum/, Richmond/, Va. (Fri)"
38,"1974-02-24","02-24-74",885,602,37,1,-1,"","last ""Baby Blue"": 09-26-72 [105]","02-24-74 Winterland Arena/, San Francisco/, Ca. (Sun)"
39,"1975-08-13","08-13-75",925,28,38,0,-1,"Not available","*FM broadcast on 9/1 - Metromedia Networkentire show comprises ""One From The Vault"" - final ""Blues For Allah"" - first ""Music"" - first ""Sage And Spirit""","08-13-75 Great American Music Hall/, San Francisco/, Ca. (Wed)"
40,"1984-07-13","07-13-84",1517,29,39,1,-1,"","last ""Dark Star"": 12-31-81 [167] - shooting star before Dark Star","07-13-84 Greek Theatre/, U. of California/, Berkeley/, Ca. (Fri)"
41,"1990-03-24","03-24-90",1907,30,40,0,-1,"Dozin at the Knick. ","*appears on ""Dozin' At The Knick""last ""Mind Left Body Jam"": 12-30-83 [431]","03-24-90 Knickerbocker Arena/, Albany/, N.Y. (Sat)"
42,"1968-02-14","02-14-68",248,31,41,1,-1,"","second set dedicated to the memory of Neal Cassidy - FM broadcast KMPX-San Francisco - Official Opening - ""St. Valentine's Day, Be Mine"" poster - also: Country Joe & The Fish","02-14-68 Carousel Ballroom/, San Francisco/, Ca. (Wed)"
43,"1985-06-28","06-28-85",1575,32,42,1,-1,"","final ""Bottom"" - final ""Superstitious""","06-28-85 Hershey Park Stadium/, Hershey/, Pa. (Fri)"
44,"1991-09-26","09-26-91",2038,12,43,1,-1,"","final/last ""We Bid You Goodnight"": 07-14-90 [107]","09-26-91 Boston Garden/, Boston/, Ma. (Thu)"
45,"1993-09-22","09-22-93",2169,8,44,1,-1,"Row 2 Aud Also available","*with David Murray **also with James Cotton""Shangri-La"" tuning before ""Ramble On""","09-22-93 Madison Square Garden/, New York/, N.Y. (Wed)"
46,"1971-11-07","11-07-71",707,33,45,1,-1,"","FM broadcast KSFX-San Francisco - first ""Hideaway"" - ""Dark Star"" is first verse only - also: NRPS","11-07-71 Harding Theater/, San Francisco/, Ca. (Sun)"
47,"1991-06-14","06-14-91",2006,16,46,1,-1,"","""Dark Star"" is first verse only - Dwight Yoakam opened","06-14-91 Robert F. Kennedy Stadium/, Washington/, D.C. (Fri)"
48,"1994-10-14","10-14-94",2252,8,47,1,-1,"","","10-14-94 Madison Square Garden/, New York/, N.Y. (Fri)"
49,"1969-11-08","11-08-69",483,34,48,0,-1,"dicks pick 16","The New Old Fillmore - also: South Bay Experimental Flash; Alligator","11-08-69 Fillmore Auditorium/, San Francisco/, Ca. (Sat)"
50,"1974-06-26","06-26-74",899,35,49,0,-1,"dicks pick 12","*appears on ""Dick's Picks Vol 12""""Beer Barrel Polka"" tuning before ""Truckin"" - last ""Other One Jam"": 06-19-68 [602]","06-26-74 Providence Civic Center/, Providence/, R.I. (Wed)"
51,"1977-05-07","05-07-77",984,12,50,1,5,"","Bill Kreutzmann's 31st birthday","05-07-77 Boston Garden/, Boston/, Ma. (Sat)"
52,"1995-03-19","03-19-95",2276,36,51,1,-1,"","first ""Unbroken Chain""","03-19-95 The Spectrum/, Philadelphia/, Pa. (Sun)"
53,"1968-10-30","10-30-68",330,37,52,1,-1,"","*with Elvin Bishop **with Jack CasadyMickey And The Hartbeats","10-30-68 The Matrix/, San Francisco/, Ca. (Wed)"
54,"1970-02-11","02-11-70b",522,3,53,1,-1,"","*with Duane and Gregg Allman and Peter Green 11:30 show - acoustic encore is uncertain - last ""Spanish Jam"": 02-14-68 [276] - billing: GD; Allman Brothers Band; Love","02-11-70b Fillmore East/, New York/, N.Y. (Wed)"
55,"1970-05-15","05-15-70a",564,3,54,1,-1,"included on late set FTP also NRPS","""Easy Wind"" appears on ""Fallout From The Phil Zone"" - also: NRPS","05-15-70a Fillmore East/, New York/, N.Y. (Fri)"
56,"1970-05-15","05-15-70b",565,3,54,1,-1,"includes early set Also NRPS","*with David Nelsonfirst ""Ballad Of Casey Jones"" - first ""I Hear A Voice Callin"" - ""Cold Jordan"" encore is acoustic - also: NRPS","05-15-70b Fillmore East/, New York/, N.Y. (Fri)"
57,"1970-09-20","09-20-70",602,3,55,1,-1,"","acoustic set with David Grisman and David Nelson on mandolin - ""GDTRFB"" jam druing ""NFA"" - billing: GD; NRPS","09-20-70 Fillmore East/, New York/, N.Y. (Sun)"
58,"1985-06-30","06-30-85",1576,38,56,1,-1,"Dled 2 other versions","","06-30-85 Merriweather Post Pavilion/, Columbia/, Md. (Sun)"
59,"1987-09-18","09-18-87",1725,8,57,1,-1,"2 other versions","","09-18-87 Madison Square Garden/, New York/, N.Y. (Fri)"
60,"1990-09-19","09-19-90",1947,8,58,1,-1,"","last second-set ""Let It Grow"": 12-31-86 [289]","09-19-90 Madison Square Garden/, New York/, N.Y. (Wed)"
61,"1993-05-16","05-16-93",2131,39,59,1,-1,"","Sting opened","05-16-93 Sam Boyd Silver Bowl/, U.N.L.V./, Las Vegas/, Nv. (Sun)"
62,"1995-07-09","07-09-95",2314,40,60,1,-1,"","*final version last non-medly, two-song encore: 11-03-91 [271] - fireworks display set to Jimi Hendrix's ""Star Spangled Banner"" after the show - The Band opened","07-09-95 Soldier Field/, Chicago/, Il. (Sun)"
63,"1970-09-19","09-19-70",601,3,61,1,-1,"","final Pigpen ""Schoolgirl"" - order before ""Morning Dew"" is uncertain - also: NRPS","09-19-70 Fillmore East/, New York/, N.Y. (Sat)"
64,"1976-07-18","07-18-76",951,41,62,1,-1,"","FM broadcast KSAN-San Francisco","07-18-76 Orpheum Theatre/, San Francisco/, Ca. (Sun)"
65,"1977-10-02","10-02-77",1007,42,63,1,-1,"","""Funiculi Funicula"" tuning before ""Playin"" - last ""Casey Jones"": 10-17-74 [88] - last ""Dupree's"": 07-11-69 [565]","10-02-77 Paramount Theater/, Portland/, Or. (Sun)"
66,"1990-07-12","07-12-90",1930,16,64,1,-1,"","Edie Brickell & The New Bohemians opened - ""Funiculi Funicula"" tuning before ""Bertha"" - ""Take A Step Back"" before ""Box Of Rain"" - final ""Hey Jude Finale""","07-12-90 Robert F. Kennedy Stadium/, Washington/, D.C. (Thu)"
67,"1991-08-16","08-16-91",2018,43,65,1,-1,"","""Dark Star"" is first verse only - last first-set ""Dark Star"": 11-15-71 [1307]","08-16-91 Shoreline Amphitheatre/, Mountain View/, Ca. (Fri)"
68,"1993-03-24","03-24-93",2119,44,66,1,-1,"","sound check: Whiskey In The Jar, H. C. Sunshine, Lucy In The Sky - ""Crazy Fingers"" fake before ""Box Of Rain""","03-24-93 Dean Smith Center/, UNC/, Chapel Hill/, N.C. (Wed)"
69,"1971-04-17","04-17-71",672,45,67,1,-1,"","""NFA"" tease before ""Lovelight"" - also: NRPS","04-17-71 Dillon Gym/, Princeton University/, Princeton/, N.J. (Sat)"
70,"1973-11-17","11-17-73",868,46,68,1,-1,"","","11-17-73 Pauley Pavilion/, U.C.L.A./, Los Angeles/, Ca. (Sat)"
71,"1973-12-02","12-02-73",875,47,69,0,-1,"","*appears on ""Dick's Picks Vol 14""""Merry-Go-Round Broke Down"" & ""Beer Barrel Polka"" tunings before ""Jack Straw""","12-02-73 Boston Music Hall/, Boston/, Ma. (Sun)"
72,"1977-05-19","05-19-77",993,48,70,0,-1,"","last ""China Doll"": 10-19-74 [72]","05-19-77 Fox Theatre/, Atlanta/, Ga. (Thu)"
73,"1977-09-03","09-03-77",1003,49,71,0,-1,"","""Take a Step Back"" before ""Half Step"" - the Dead left the stage for a few minutes after Samson - last ""Truckin"": 09-28-75 [77] - FM broadcast WNEW-New York - also: Marshall Tucker; NRPS","09-03-77 Raceway Park/, Englishtown/, N.J. (Sat)"
74,"1980-10-31","10-31-80",1255,50,72,1,-1,"","closed circuit TV on the East Coast - FM broadcast - no Phil until ""Roses"" due to technical problems - final ""Heaven Help The Fool"" - final/last ""Sage And Spirit"": 08-13-75 [330] - final/last ""Sadie"": 02-13-70 [734] - ""Drumz"" and""Fire"" appear on ""Dead Set""","10-31-80 Radio City Music Hall/, New York/, N.Y. (Fri)"
75,"1989-05-06","05-06-89",1849,51,73,1,-1,"","*Kentucky Derby dayRex Foundation benefit - last ""Race Is On"": 05-03-86 [212] - FM broadcast KZSU-Palo Alto","05-06-89 Frost Amphitheatre/, Stanford U./, Palo Alto/, Ca. (Sat)"
76,"1989-10-08","10-08-89",1875,6,74,1,-1,"","last ""Help> Slipknot"": 09-12-85 [284] - Show billed as ""Formerly The Warlocks""","10-08-89 Hampton Coliseum/, Hampton/, Va. (Sun)"
77,"1993-08-21","08-21-93",2153,52,75,1,-1,"","*with Huey Lewis on harmonicalast ""Schoolgirl"": 06-25-92 [64] - Indigo Girls opened","08-21-93 Autzen Stadium/, U. of Oregon/, Eugene/, Or. (Sat)"
78,"1993-09-13","09-13-93",2162,36,76,0,-1,"","","09-13-93 The Spectrum/, Philadelphia/, Pa. (Mon)"
79,"1969-02-22","02-22-69",380,53,77,0,-1,"","","02-22-69 Dream Bowl/, Napa/, Ca. (Sat)"
80,"1969-04-22","04-22-69",404,54,78,0,-1,"","""Carnival Music"" tuning before ""Doin That Rag""","04-22-69 The Ark/, Boston/, Ma. (Tue)"
81,"1970-11-08","11-08-70",622,15,79,0,-1,"","""Dark Star"" is first verse only - first ""Around"" - only ""My Babe"" - only ""Mystery Train"" - final ""Operator"" - last ""Searchin"": 08-29-69 [170] - final ""The Main Ten"" - final ""Wake Up Little Susie""- also: NRPS","11-08-70 Capitol Theater/, Port Chester/, N.Y. (Sun)"
82,"1979-12-26","12-26-79",1178,55,80,0,-1,"","SEVA benefit - sound check: B. T. Wind, Brokedown, Minglewood - last ""Brokedown"": 10-14-77 [165] - last ""Uncle John"": 10-06-77 [170] - entire show comprises ""Dick's Picks Vol 5""","12-26-79 Oakland Auditorium Arena/, Oakland/, Ca. (Wed)"
83,"1987-12-31","12-31-87",1743,24,81,0,-1,"","*with members of The Neville Brothers **also with Ramblin' Jack Elliot and David Nelsonfinal ""Day-O"" - only ""Do You Wanna Dance"" - Bill Graham rides in on the Golden Gate Bridge - pay-per-view TV broadcast - national radio broadcast - The Neville Brothers, then The Looters opened - also: Mason Williams","12-31-87 Oakland Coliseum Arena/, Oakland/, Ca. (Thu)"
84,"1991-06-17","06-17-91",2008,56,82,0,-1,"","Little Feat opened - ""Dark Star"" tease before ""Masterpiece"" - ""Dark Star"" theme during ""Jam"" - last first-set ""Eyes"": 08-13-75 [1083] - last ""Dark Star Jam"": 06-23-74 [1110]","06-17-91 Giants Stadium/, East Rutherford/, N.J. (Mon)"
85,"1992-05-31","05-31-92",2076,39,83,0,-1,"","*with Steve Miller Steve Miller opened - locomotive airhorn during ""Drumz""","05-31-92 Sam Boyd Silver Bowl/, U.N.L.V./, Las Vegas/, Nv. (Sun)"
86,"1992-06-20","06-20-92",2086,16,84,0,-1,"","*with Steve Miller with Bruce Hornsby on accordion - Steve Miller opened - locomotive airhorn during ""Drumz,"" also to begin ""Casey Jones""- ""Shenandoah"" theme during ""Space"" - last ""Casey Jones"": 11-02-84 [549] - sound check: ""Baba O'Riley""> ""TNK,"" ""Casey Jones,"" ""Way To Go""","06-20-92 Robert F. Kennedy Stadium/, Washington/, D.C. (Sat)"
87,"1993-08-22","08-22-93",2154,52,85,0,-1,"","Indigo Girls opened","08-22-93 Autzen Stadium/, U. of Oregon/, Eugene/, Or. (Sun)"
88,"1995-06-25","06-25-95",2306,16,86,0,-1,"","*final versionwith Bruce Hornsby on grand piano - Bob Dylan opened - soundcheck: ""St. Stephen"" - Jerry Garcia played on ""Train To Cry"" and ""Rainy Day Women"" of Bob Dylan's set","06-25-95 Robert F. Kennedy Stadium/, Washington/, D.C. (Sun)"
89,"1966-07-16","07-16-66",57,34,87,0,-1,"","*with Joan Baez & Mimi Farinalist may be incomplete - billing: Jefferson Airplane; GD","07-16-66 Fillmore Auditorium/, San Francisco/, Ca. (Sat)"
90,"1966-11-19","11-19-66",98,34,88,0,-1,"","11 beat ""BIODTL"" - billing: GD; James Cotton Blues Band; Lothar & The Hand People","11-19-66 Fillmore Auditorium/, San Francisco/, Ca. (Sat)"
91,"1968-09-02","09-02-68",317,57,89,0,-1,"","Sky River Festival","09-02-68 Betty Nelson's Organic Raspberry Farm/, Sultan/, Wa. (Mon)"
92,"1970-05-06","05-06-70",558,58,90,0,-1,"","free concert - nationwide campus strikes to protest Kent State and Jackson State killings","05-06-70 Kresge Plaza/, M.I.T./, Cambridge/, Ma. (Wed)"
93,"1971-07-02","07-02-71",685,7,91,0,-1,"","""That's It For The Other One"" dedicated to Owsley - billing: GD; NRPS; Rowan Brothers - last Grateful Dead Fillmore West show - FM broadcast KSAN-San Francisco, KSFX-San Francisco, and KMET","07-02-71 Fillmore West/, San Francisco/, Ca. (Fri)"
94,"1977-03-18","03-18-77",970,602,92,0,-1,"","first ""Fire"" - only ""Alhambra""","03-18-77 Winterland Arena/, San Francisco/, Ca. (Fri)"
95,"1977-05-05","05-05-77",983,59,93,0,-1,"","","05-05-77 Veterans Memorial Coliseum/, New Haven/, Ct. (Thu)"
96,"1978-07-07","07-07-78",1074,10,94,0,-1,"","","07-07-78 Red Rocks Amphitheatre/, Morrison/, Co. (Fri)"
97,"1978-10-21","10-21-78",1085,602,95,0,-1,"","*with Hamza El-Din **with Lee OskarHamza El-Din performed a couple of solo songs before ""Ollin Arageed"" - final ""Mojo"" - ""From Egypt With Love"" - final/last ""Mojo"": 04-22-77 [112]","10-21-78 Winterland Arena/, San Francisco/, Ca. (Sat)"
98,"1978-11-24","11-24-78",1095,60,96,0,-1,"","*with Hamza El-Dinnationwide FM broadcast - archival video tape made - soundcheck: ""Stagger Lee"", ""Miracle"", ""Good Lovin""","11-24-78 Capitol Theatre/, Passaic/, N.J. (Fri)"
99,"1979-12-01","12-01-79",1170,61,97,1,-1,"Available SATNight only FTP - Incomplete","first ""C. C. Rider"" - only ""Gloria Jam""","12-01-79 Stanley Theatre/, Pittsburgh/, Pa. (Sat)"
100,"1980-09-06","09-06-80",1230,62,98,0,-1,"Available SATNight 1st Set only","Roy Buchanan, then The Cate Brothers & Levon Helm opened","09-06-80 State Fairgrounds/, Lewiston/, Me. (Sat)"
101,"1981-10-16","10-16-81",1334,63,99,0,-1,"","",""
102,"1989-07-17","07-17-89",1863,64,100,0,-1,"","final ""Push"" - ""Music"" appears on ""Fallout From The Phil Zone"" - ""Close Encounters"" space before ""Wheel"" - last ""We Bid You Goodnight"": 12-31-78 [756]","07-17-89 Alpine Valley Music Theatre/, East Troy/, Wi. (Mon)"
103,"1993-05-27","05-27-93",2137,65,101,0,-1,"","Rex benefit","05-27-93 Cal Expo Amphitheatre/, Sacramento/, Ca. (Thu)"
104,"1994-07-20","07-20-94",2225,66,102,1,-1,"","first ""Childhood's End"" - first ""Matilda""","07-20-94 Deer Creek Music Center/, Noblesville/, In. (Wed)"
105,"1994-10-01","10-01-94",2242,12,103,0,-1,"","","10-01-94 Boston Garden/, Boston/, Ma. (Sat)"
106,"1966-07-17","07-17-66",58,34,104,1,-1,"The version I have is in conflict with DeadBase","list may be incomplete - afternoon concert (2:00 PM) - billing: Jefferson Airplane; GD","07-17-66 Fillmore Auditorium/, San Francisco/, Ca. (Sun)"
107,"1968-10-09","10-09-68",322,37,105,0,-1,"","*with Paul Butterfield and Elvin BishopMickey And The Hartbeats - with Jack Casady - date of list uncertain - ""Jam"" after ""Yonder's Wall"" is similar to ""New Potato Caboose""","10-09-68 The Matrix/, San Francisco/, Ca. (Wed)"
108,"1970-06-24","06-24-70a",578,15,107,0,-1,"","also: NRPS","06-24-70a Capitol Theater/, Port Chester/, N.Y. (Wed)"
109,"1970-06-24","06-24-70b",579,15,107,0,-1,"","also: NRPS - last ""Big RxR Blues"": 09-07-69 [121]*","06-24-70b Capitol Theater/, Port Chester/, N.Y. (Wed)"
110,"1972-12-31","12-31-72",810,602,108,1,-1,"","*with David Crosby on either or both FM broadcast KSAN-San Francisco - billing: GD; NRPS; Sons Of Champlin","12-31-72 Winterland Arena/, San Francisco/, Ca. (Sun)"
111,"1973-11-11","11-11-73",866,602,109,0,-1,"","","11-11-73 Winterland Arena/, San Francisco/, Ca. (Sun)"
112,"1974-06-16","06-16-74",894,67,110,0,-1,"","","06-16-74 State Fairgrounds/, Des Moines/, Ia. (Sun)"
113,"1974-06-23","06-23-74",898,68,111,0,-1,"","Robert Hunter's 33rd birthday - ""Tico Tico"" tuning before ""Half Step"" - only ""Let It Rock"" - first ""Phil & Ned""","06-23-74 Jai-Alai Fronton/, Miami/, Fl. (Sun)"
114,"1974-08-06","08-06-74",910,69,112,0,-1,"","","08-06-74 Roosevelt Stadium/, Jersey City/, N.J. (Tue)"
115,"1976-10-09","10-09-76",963,70,113,0,-1,"","""Hitchcock Theme"" tuning before ""St. Stephen"" - ""Day On The Green #8"" - billing: The Who; GD - 11:00 AM","10-09-76 Oakland Coliseum Stadium/, Oakland/, Ca. (Sat)"
116,"1976-12-31","12-31-76",967,71,114,0,-1,"","sound check: ""River Deep Mountain High"" - FM broadcast KSAN-San Francisco - Bill Graham appears out of a giant hour glass - billing: GD; Santana; Soundhole","12-31-76 Cow Palace/, Daly City/, Ca. (Fri)"
117,"1977-10-29","10-29-77",1017,72,115,0,-1,"","","10-29-77 Evans Field House/, Northern Illinois U./, DeKalb/, Il. (Sat)"
118,"1978-01-22","01-22-78",1038,73,116,0,-1,"","","01-22-78 McArthur Court/, University of Oregon/, Eugene/, Or. (Sun)"
119,"1981-05-06","05-06-81",1292,5,117,0,-1,"","*for Bobby Sands show originally scheduled for 05-07-81 - entire show comprises ""Dick's Picks Vol 13"" - final/last ""Caution Jam"": 10-27-79 [138] - last ""Spanish Jam"": 07-16-76 [343]","05-06-81 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Wed)"
120,"1982-10-10","10-10-82",1404,51,118,0,-1,"","","10-10-82 Frost Amphitheatre/, Stanford U./, Palo Alto/, Ca. (Sun)"
121,"1982-12-31","12-31-82",1411,55,119,0,-1,"","*with Etta James & Tower Of Power horns **with John Cipollina ***with Matt KellyFM broadcast KQAK-San Francisco - Bill Graham rides in on a giant mushroom - last ""Baby What You Want"": 09-07-69 [955] - final ""Hard To Handle"" - last ""Midnight Hour"": 04-29-71 [730] - final ""Tell Mama"" - also: Dinosaurs; Batucaje","12-31-82 Oakland Auditorium Arena/, Oakland/, Ca. (Fri)"
122,"1985-06-24","06-24-85",1572,74,120,0,-1,"","","06-24-85 River Bend Music Center/, Cincinnati/, Oh. (Mon)"
123,"1986-03-24","03-24-86",1622,36,121,0,-1,"","final ""Sailor""","03-24-86 The Spectrum/, Philadelphia/, Pa. (Mon)"
